"file name
 (type_block_filter_image_output_params)","h5 size
[KB]",blocks,image,output,params,"JeVois
Runtime
1344Hz [ms]","JeVois
Frames
1344Hz [fps]","JeVois
Runtime
408Hz [ms]","JeVois
Frames
408Hz [fps]","Sipeed
Runtime [ms]","Sipeed
Frames [fps]"
DepthwiseConv2D_3_x_96_50_21740.h5,110.304,3,96,50,21740,10,81.1,31,26.4,3.16,315
DepthwiseConv2D_4_x_96_50_5570.h5,53.648,4,96,50,5570,10,81,31,26.3,3.07,320
DepthwiseConv2D_1_x_128_50_614480.h5,2473.912,1,128,50,614480,23,41.7,57,16.6,27.56,36
DepthwiseConv2D_2_x_128_50_153710.h5 ,634.48,2,128,50,153710,17,51.9,54,17.4,10.17,97
DepthwiseConv2D_3_x_128_50_38540.h5,177.504,3,128,50,38540,17,53.8,54,17.4,5.26,190
DepthwiseConv2D_4_x_128_50_9770.h5,70.448,4,128,50,9770,17,53,54,17.2,5,199
DepthwiseConv2D_5_x_128_50_2600.h5,45.272,5,128,50,2600,17,52.9,53,17.2,4.89,202
DepthwiseConv2D_2_x_160_50_240110.h5,980.08,2,160,50,240110,28,32.6,85,10.9,16.57,60
DepthwiseConv2D_3_x_160_50_60140.h5,263.904,3,160,50,60140,27,33.8,85,10.9,10.01,99
DepthwiseConv2D_4_x_160_50_15170.h5,92.048,4,160,50,15170,27,33.9,85,10.7,8.09,123
DepthwiseConv2D_5_x_160_50_3950.h5,50.672,5,160,50,3950,26,34.1,85,10.8,7.99,123
DepthwiseConv2D_2_x_192_50_345710.h5 ,1402.48,2,192,50,345710,40,22.9,122,7.6,23.38,43
DepthwiseConv2D_3_x_192_50_86540.h5,369.504,3,192,50,86540,38,23.7,122,7.6,13.58,73
DepthwiseConv2D_4_x_192_50_21770.h5,118.448,4,192,50,21770,38,23.8,123,7.5,11.04,90
DepthwiseConv2D_5_x_192_50_5600.h5,57.272,5,192,50,5600,38,24,122,7.7,10.95,91
DepthwiseConv2D_2_x_224_50_470510.h5,1901.68,2,224,50,470510,55,16.6,167,8.9,32.98,30
DepthwiseConv2D_3_x_224_50_117740.h5,494.304,3,224,50,117740,52,17.2,166,5.5,19.5,51
DepthwiseConv2D_4_x_224_50_29570.h5,149.648,4,224,50,29570,52,17.4,166,6.6,15.97,62
DepthwiseConv2D_5_x_224_50_7550.h5,65.072,5,224,50,7550,53,17.6,165,6.5,15.89,63
DepthwiseConv2D_1_x_64_66_202848.h5,827.32,1,64,66,202848,6,142.5,15,58.1,8.31,119
DepthwiseConv2D_2_x_64_66_50814.h5,222.832,2,64,66,50814,5,171.9,14,61.6,1.71,570
DepthwiseConv2D_3_x_64_66_12828.h5,74.592,3,64,66,12828,4,180.5,14,61.7,1.43,690
DepthwiseConv2D_4_x_64_66_3354.h5,44.72,4,64,66,3354,5,182.4,14,61.8,1.35,725
DepthwiseConv2D_1_x_96_66_456288.h5,1841.08,1,96,66,456288,13,63.2,33,24.6,19.51,50
DepthwiseConv2D_2_x_96_66_114174.h5,476.272,2,96,66,114174,10,66.7,31,26.1,6.86,146
DepthwiseConv2D_3_x_96_66_28668.h5,137.952,3,96,66,28668,9,80.8,30,26.3,3.2,310
DepthwiseConv2D_4_x_96_66_7314.h5,60.56,4,96,66,7314,10,81.5,31,26.4,3.14,315
